,f_preferred_name,Fe,Mg,Si,Unnamed: 4
1149,HIP 68740 ,0.08,0.28,0.18,
1150,HIP 3206 ,0.13,0.26,0.16,
1151,HIP 101507 ,0.07,0.15,0.06,
1152,HIP 35985 ,0.01,0.01,0.0,
1153,2MASS 19193135+5116374 ,0.06,0.02,0.08,
1154,HIP 35989 ,-0.26,-0.22,-0.06,
1155,HIP 35992 ,0.02,0.19,0.04,
1156,HIP 68763 ,0.06,0.16,0.4,
1157,HIP 3231 ,-0.08,0.05,0.0,
1158,HIP 3236 ,0.14,0.15,0.1,
1159,HIP 3245 ,0.18,0.23,0.2,
1160,HIP 101550 ,-0.34,0.03,-0.12,
1161,HIP 3249 ,-0.45,-0.51,-0.49,
1162,HIP 68796 ,-0.49,-0.39,-0.44,
1164,HIP 68799 ,0.1,0.08,0.02,
1165,HIP 68805 ,0.19,0.11,0.12,
1166,HIP 68807 ,-1.66,-1.39,-1.47,
1167,HIP 3272 ,-0.39,-0.29,-0.26,
1168,HIP 36041 ,-0.1,-0.13,-0.15,
1169,HIP 36042 ,0.09,-0.05,0.18,
1170,HIP 101578 ,-0.26,-0.18,-0.2,
1171,HIP 101579 ,-0.1,-0.05,-0.06,
1172,2MASS 19414128+3844084 ,0.04,0.02,0.03,
1173,HIP 36046 ,-0.03,0.16,0.05,
1175,2MASS 19471749+4806271 ,-0.23,-0.11,-0.06,
1176,2MASS 18492618+4238587 ,0.07,0.09,0.06,
1178,HIP 68825 ,-0.07,0.08,0.12,
1179,HIP 68828 ,0.12,0.15,0.11,
1180,HIP 101597 ,-0.1,-0.17,-0.14,
1181,BD+44 03020 ,-0.33,-0.26,-0.31,
1182,HIP 101602 ,-0.53,-0.18,-0.32,
1184,HIP 36071 ,0.06,-0.06,0.06,
1185,2MASS 03443498+0553014 ,-1.18,-0.71,-0.83,
1186,HIP 101612 ,-0.05,-0.01,-0.15,
1187,HIP 3311 ,0.09,0.12,0.05,
1189,HIP 101620 ,-0.12,-0.02,-0.08,
1191,HIP 101631 ,-0.26,-0.15,-0.25,
1193,HD 189285 ,0.15,0.06,0.08,
1194,HIP 3342 ,0.06,-0.02,0.03,
1195,HIP 36114 ,0.1,0.18,0.28,
1196,HIP 3353 ,-0.37,0.04,-0.05,
1197,HIP 68895 ,-0.1,0.16,0.11,
1199,HIP 36129 ,0.21,0.15,0.15,
1200,GES J11124780-0952197 ,0.35,0.36,0.29,
1201,HIP 68904 ,0.05,0.05,0.14,
1202,HD 180164 ,-0.65,-0.56,-0.71,
1203,HD 188713 ,-0.05,0.09,0.04,
1205,2MASS 06223391+1444303 ,0.02,0.06,0.0,
1206,HIP 36152 ,-0.5,-0.33,-0.34,
1208,HIP 3391 ,0.24,0.18,0.24,
1211,HIP 68935 ,-0.06,0.04,-0.05,
1212,HIP 68936 ,0.21,0.36,0.31,
1213,HIP 101704 ,0.13,0.32,0.12,
1214,2MASS 19402093+4910116 ,0.08,0.04,0.05,
1215,HIP 68940 ,-0.08,0.07,-0.05,
1216,HIP 68943 ,-0.07,-0.15,-0.3,
1217,HD 18436a ,0.28,0.27,0.28,
1218,HIP 101721 ,-0.71,-0.47,-0.49,
1219,HIP 3418 ,0.02,0.24,0.16,
1220,HIP 3419 ,0.02,0.11,0.1,
1221,HIP 68955 ,-0.2,-0.21,-0.12,
1222,2MASS 19521906+4444467 ,0.18,0.16,0.18,
1224,HIP 101728 ,-0.19,-0.02,-0.07,
1226,2MASS 18555591+4913587 ,0.1,0.06,0.08,
1227,HIP 3441 ,-0.5,-0.18,-0.23,
1228,HIP 36210 ,0.07,0.14,0.06,
1229,BD+45 02960 ,0.01,-0.08,-0.05,
1233,HIP 3455 ,0.06,0.22,0.17,
1234,HIP 3456 ,0.06,0.4,0.24,
1235,HIP 101760 ,0.33,0.31,0.33,
1236,HIP 101769 ,0.05,0.08,-0.05,
1237,HIP 101770 ,-0.07,-0.09,-0.15,
1238,HIP 101772 ,-0.04,0.03,0.06,
1239,HIP 3479 ,-0.23,-0.1,-0.22,
1240,HIP 36249 ,0.14,0.23,0.13,
1241,HIP 101785 ,-0.12,-0.15,-0.21,
1242,HIP 3488 ,0.28,0.22,0.25,
1243,HIP 101794 ,-0.14,-0.22,-0.16,
1244,HIP 3497 ,-0.3,-0.04,-0.15,
1245,HIP 36269 ,-1.57,-1.31,-1.52,
1246,HIP 3502 ,0.42,0.38,0.39,
1247,HIP 101806 ,0.26,0.32,0.26,
1248,HIP 36272 ,0.2,0.17,0.18,
1249,2MASS 19345800+4426539 ,-0.01,-0.07,-0.04,
1250,2MASS 19172193+4659176 ,0.1,0.11,0.08,
1252,HIP 36285 ,-0.27,-0.18,-0.28,
1253,2MASS 19353249+3931113 ,0.09,0.01,0.02,
1254,2MASS 19503414+4935419 ,0.12,0.0,0.08,
1257,HIP 69065 ,-0.22,-0.1,-0.05,
1260,HIP 3533 ,0.26,0.29,0.27,
1261,HIP 36302 ,0.25,0.23,0.24,
1262,HIP 3535 ,0.19,0.23,0.24,
1264,HD 148110 ,-0.43,-0.15,-0.38,
1265,HIP 69074 ,-0.51,-0.39,-0.45,
1266,HIP 3540 ,0.08,0.14,0.06,
1268,HIP 101848 ,-0.11,-0.06,-0.09,
1270,HIP 3550 ,-0.34,-0.37,-0.43,
1271,HIP 101857 ,0.03,0.02,-0.01,
1272,HIP 69090 ,-0.11,-0.06,-0.07,
1274,HIP 36325 ,0.02,0.21,0.2,
1275,2MASS 20032735+4420151 ,-0.1,-0.1,-0.12,
1276,HIP 3559 ,-0.18,-0.09,-0.15,
1280,HIP 36339 ,0.25,0.42,0.27,
1281,HIP 69107 ,-0.25,0.04,0.04,
1282,HIP 101875 ,-0.07,-0.06,-0.08,
1283,HIP 3574 ,0.24,0.12,0.06,
1284,HIP 69112 ,-0.36,-0.18,-0.33,
1285,2MASS 19302763+4245513 ,0.01,-0.02,-0.02,
1286,HIP 3578 ,0.16,0.1,0.14,
1287,HIP 3579 ,-0.34,-0.25,-0.3,
1288,HIP 36347 ,0.01,-0.09,-0.07,
1290,HIP 3583 ,0.0,0.04,-0.07,
1292,HIP 101890 ,-0.63,-0.31,-0.45,
1297,HIP 101899 ,-0.11,0.16,0.22,
1298,HIP 101905 ,0.1,0.11,0.05,
1299,HIP 69143 ,-0.3,-0.23,-0.25,
1300,HIP 101911 ,0.12,0.04,0.02,
1301,HIP 36377 ,0.35,0.38,0.45,
1302,HIP 3610 ,-0.19,-0.12,-0.26,
1303,HIP 101916 ,0.11,0.1,0.08,
1306,HIP 3620 ,0.1,0.28,0.14,
1308,HIP 101932 ,0.1,0.06,0.06,
1309,HIP 36399 ,-0.03,0.04,-0.12,
1310,HIP 101936 ,0.11,0.13,0.26,
1311,HIP 69176 ,-0.5,-0.36,-0.48,
1312,BD+18 02020 ,0.13,0.11,0.11,
1313,2MASS 09104487-0348093 ,-1.06,-0.86,-0.9,
1315,HIP 3645 ,-0.08,0.01,0.04,
1316,HIP 36414 ,0.18,0.1,0.25,
1317,HIP 69185 ,-0.26,-0.07,-0.16,
1319,HIP 69191 ,0.06,0.12,0.18,
1322,HIP 36430 ,-2.2,-1.85,-1.66,
1324,HIP 101966 ,0.25,0.19,0.22,
1325,HIP 69202 ,-0.47,-0.31,-0.41,
1327,HIP 36439 ,-0.25,-0.22,-0.24,
1328,HIP 69207 ,-0.5,-0.36,-0.43,
1329,2MASS 19265960+3926487 ,0.18,0.13,0.16,
1331,HIP 3675 ,0.05,0.14,0.12,
1332,HIP 36444 ,-0.07,0.04,0.03,
1334,HIP 101983 ,-0.37,-0.28,-0.3,
1336,HIP 69220 ,-0.08,-0.03,-0.12,
1338,HIP 69224 ,-0.13,-0.03,-0.1,
1340,HIP 101997 ,-0.24,-0.12,-0.22,
1341,HIP 69230 ,-0.02,-0.16,0.29,
1344,HIP 3697 ,0.19,0.25,0.26,
1346,HIP 3704 ,-0.35,-0.26,-0.33,
1347,HIP 36474 ,-0.12,0.04,-0.02,
1349,HIP 3712 ,0.0,-0.01,0.01,
1350,HIP 36481 ,-0.13,-0.15,-0.07,
1351,HIP 102018 ,0.2,0.21,0.19,
1352,HIP 3718 ,-0.06,-0.03,-0.04,
1354,HIP 102025 ,-0.22,-0.24,-0.3,
1355,HIP 102026 ,-0.25,-0.08,-0.03,
1356,HIP 36491 ,-0.84,-0.55,-0.69,
1358,2MASS 19543864+4108164 ,-0.09,-0.14,-0.12,
1359,HIP 3730 ,0.22,0.32,0.24,
1360,HIP 102035 ,-0.28,-0.21,-0.32,
1361,HIP 69268 ,-0.36,-0.2,-0.31,
1362,HIP 3734 ,-0.03,0.16,-0.05,
1363,HIP 102040 ,-0.05,-0.01,-0.08,
1364,HIP 102042 ,-2.36,-1.81,-0.55,
1365,HIP 102046 ,-1.01,-0.6,-0.72,
1367,HIP 36512 ,-0.09,-0.05,-0.09,
1368,HIP 36513 ,-2.45,-2.04,-0.98,
1369,HIP 36515 ,-0.02,-0.06,-0.07,
1371,HD 101079 ,0.22,0.28,0.31,
1372,HIP 69290 ,-0.04,0.16,-0.07,
1374,HIP 69295 ,-0.34,-0.15,-0.28,
1378,HIP 3765 ,-0.23,-0.09,-0.2,
1379,2MASS 00012447-3038583 ,0.1,-0.07,0.09,
1381,HIP 102081 ,0.11,0.29,0.23,
1382,HIP 69316 ,0.28,0.56,0.56,
1383,HD 95879 ,-0.06,0.16,0.06,
1384,2MASS 19425454+3903351 ,0.15,-0.13,0.05,
1385,HIP 3786 ,-0.17,0.0,0.12,
1386,HIP 102090 ,-0.19,-0.01,-0.09,
1387,2MASS 19285162+3832549 ,0.06,0.05,0.02,
1388,2MASS 19304141+4622387 ,-0.27,-0.23,-0.3,
1389,2MASS 01591792+0212080 ,-1.03,-0.63,-0.7,
1390,TrES-5 ,0.27,0.18,0.17,
1391,2MASS 19332934+4447064 ,-0.09,-0.07,-0.09,
1392,HIP 69340 ,0.27,0.4,0.2,
1393,HIP 3807 ,0.0,0.12,0.07,
1394,HIP 69350 ,-0.04,0.17,0.0,
1395,HIP 3821 ,-0.21,-0.16,-0.2,
1396,HIP 69357 ,-0.13,-0.1,-0.12,
1397,HIP 102125 ,0.18,0.23,0.22,
1398,HIP 102128 ,0.24,0.27,0.32,
1399,HIP 3834 ,0.09,0.16,0.12,
1400,HIP 69373 ,-0.89,-0.45,-0.58,
1401,HD 160269a ,-0.18,-0.08,-0.15,
1402,HIP 36616 ,0.17,0.2,0.33,
1403,HIP 102152 ,0.02,0.07,-0.02,
1404,HIP 3850 ,-0.18,-0.22,-0.2,
1406,HIP 102158 ,-0.26,-0.17,-0.11,
1410,HIP 36640 ,-0.66,-0.45,-0.53,
1412,HIP 3876 ,0.11,0.23,0.17,
1413,HIP 69414 ,-0.09,0.0,-0.06,
1414,HIP 3879 ,-0.15,-0.19,-0.24,
1415,HIP 69416 ,-0.38,-0.24,-0.2,
1416,HIP 69427 ,-0.39,-0.14,-0.14,
1418,HIP 102200 ,-0.44,-0.3,-0.37,
1419,HIP 102203 ,0.01,0.03,-0.02,
1420,2MASS 19165940-1635271 ,0.07,-0.01,0.05,
1421,HIP 102211 ,-0.45,-0.24,-0.32,
1422,HIP 3909 ,-0.05,-0.08,-0.1,
1423,HIP 3913 ,0.03,0.17,0.05,
1424,2MASS 19282502+3946044 ,-0.28,-0.24,-0.3,
1425,2MASS 06412666-4813149 ,-1.92,-1.65,-1.84,
1426,HD 27446 ,-0.01,-0.04,-0.01,
1427,BD+36 00350 ,0.16,-0.07,-0.14,
1429,HIP 36704 ,0.0,0.06,-0.01,
1430,2MASS 00032184-3001105 ,0.15,-0.03,0.07,
1433,HIP 36715 ,0.04,0.11,0.02,
1435,HIP 69493 ,0.09,0.15,0.22,
1436,HIP 102264 ,-0.18,-0.17,-0.22,
1437,HIP 36729 ,-0.4,-0.16,-0.24,
1438,HIP 36732 ,0.15,0.28,0.25,
1439,HIP 36739 ,0.0,-0.06,0.01,
1440,HIP 3975 ,0.23,0.06,-0.04,
1442,HIP 3979 ,-0.19,-0.12,-0.17,
1443,HIP 69518 ,0.09,-0.01,0.03,
1445,HIP 102290 ,0.03,-0.06,0.05,
1446,HIP 69526 ,0.06,-0.02,0.14,
1448,2MASS 19285977+4609535 ,-0.06,-0.07,-0.03,
1449,HIP 3998 ,0.16,-0.03,0.22,
1450,HIP 69535 ,-0.23,-0.31,-0.13,
1451,HIP 69536 ,0.12,0.12,0.11,
1452,HIP 4005 ,0.05,0.03,0.02,
1454,HD 217143 ,-0.3,0.13,-0.07,
1455,HIP 36795 ,-0.12,-0.1,-0.09,
1456,HIP 69564 ,0.2,0.24,0.22,
1457,HIP 69569 ,0.33,0.77,0.56,
1458,HIP 69570 ,-0.26,-0.18,-0.22,
1459,HIP 102337 ,-1.87,-1.62,-1.64,
1460,HIP 4039 ,-1.14,-0.94,-1.0,
1461,HIP 4041 ,-0.01,-0.06,-0.05,
1463,HIP 36818 ,-0.87,-0.77,-0.8,
1465,2MASS 19113992+4226142 ,0.15,0.16,0.15,
1466,2MASS 11260363+0113505 ,0.13,0.1,0.1,
1467,2MASS 19461140+4456309 ,-0.01,-0.05,-0.04,
1468,HIP 36827 ,-0.14,-0.22,-0.15,
1469,2MASS 19343024+4116221 ,-0.01,-0.06,-0.04,
1470,HIP 102370 ,-0.29,-0.17,-0.26,
1471,HIP 102375 ,0.31,0.18,0.29,
1472,HIP 102379 ,-0.4,-0.25,-0.31,
1473,HIP 69612 ,-0.12,0.11,0.1,
1474,HIP 36848 ,-0.09,-0.06,0.04,
1475,HIP 36849 ,-0.77,-0.54,-0.62,
1476,HIP 102388 ,-0.04,0.19,0.13,
1477,HIP 36855 ,0.23,0.23,0.11,
1478,HIP 102395 ,-0.3,-0.23,-0.25,
1479,HD 146362 ,-0.02,0.0,-0.03,
1481,HIP 36866 ,0.27,0.3,0.22,
1482,HIP 36874 ,-0.02,0.01,-0.05,
1484,HIP 69645 ,0.01,0.03,-0.02,
1486,HIP 102418 ,0.13,0.09,0.11,
1487,2MASS 13350194-1730124 ,0.2,0.08,0.07,
1488,HIP 102422 ,-0.08,-0.01,-0.02,
1489,HD 178119 ,-0.38,-0.08,-0.08,
1490,BD+10 00125 ,-0.31,-0.27,-0.27,
1492,2MASS 14291840-0326403 ,0.0,0.02,-0.02,
1493,HIP 4127 ,-0.1,-0.13,-0.03,
1494,HIP 36896 ,-0.1,0.35,0.37,
1495,HIP 102431 ,0.18,0.25,0.16,
1496,2MASS 19091838+4840243 ,-0.21,-0.18,-0.18,
1497,HIP 69673 ,-0.54,-0.1,-0.22,
1498,HIP 36906 ,0.12,0.07,0.12,
1500,HIP 4148 ,-0.07,-0.09,-0.07,
1501,HIP 102453 ,0.0,0.0,0.12,
1502,HD 233731 ,0.29,0.45,0.38,
1503,HIP 4151 ,0.1,0.13,0.11,
1505,HIP 36927 ,0.04,-0.16,-0.03,
1506,HIP 69701 ,-0.02,0.05,0.04,
1509,HIP 36941 ,-0.1,0.13,-0.08,
1510,HIP 69710 ,-0.26,-0.12,-0.19,
1511,HIP 36943 ,0.09,0.07,0.21,
1512,2MASS 11174778+0351590 ,-0.01,-0.04,0.03,
1513,HIP 36948 ,0.07,0.06,0.02,
1515,HD 179957 ,0.02,0.12,0.01,
1516,HIP 102488 ,-0.09,0.1,0.03,
1517,HIP 4185 ,0.15,0.31,0.31,
1518,BD+49 03061 ,-0.29,-0.12,-0.27,
1520,HIP 69724 ,0.32,0.35,0.27,
1524,HIP 36964 ,-0.06,0.12,0.04,
1525,HIP 102499 ,-0.12,0.01,0.07,
1526,HIP 36976 ,-0.06,0.0,-0.08,
1530,HIP 69753 ,-0.14,-0.04,-0.06,
1531,HIP 102521 ,-0.14,-0.06,-0.12,
1532,HIP 102523 ,-0.55,-0.34,-0.43,
1534,HIP 36993 ,0.22,0.14,0.18,
1535,HIP 102531 ,0.11,0.16,0.16,
1536,HIP 102532 ,0.18,0.36,0.32,
1537,2MASS 19282034+4914149 ,0.1,0.09,0.06,
1540,HIP 69780 ,-0.55,-0.22,-0.34,
1541,HIP 102548 ,-0.21,-0.22,-0.25,
1544,HIP 69792 ,-0.09,0.0,0.07,
1545,HIP 4257 ,-0.49,-0.29,-0.05,
1546,HIP 69796 ,-0.02,-0.05,-0.03,
1547,HD 185115 ,-0.1,-0.02,-0.04,
1548,HIP 37030 ,-0.06,-0.06,-0.01,
1549,HIP 102566 ,-0.36,-0.28,-0.23,
1550,B-01 03943 ,0.39,0.33,0.38,
1551,HIP 102580 ,0.15,0.16,0.17,
1552,HIP 37046 ,0.16,0.3,0.24,
1553,HIP 102582 ,-0.62,-0.28,-0.49,
1555,HD 38392 ,0.01,-0.01,0.01,
1558,HIP 4290 ,-0.13,0.0,-0.17,
1559,2MASS 19300891+4209142 ,-0.32,-0.29,-0.34,
1560,HIP 4292 ,0.0,0.12,0.31,
1561,HIP 4293 ,0.0,-0.09,0.06,
1562,HIP 37060 ,0.12,0.24,0.25,
1563,HIP 102599 ,-0.3,-0.38,-0.36,
1564,HIP 4297 ,0.12,0.11,0.13,
1566,HIP 37069 ,0.09,0.08,0.19,
1567,HD 119961 ,-0.53,-0.36,-0.42,
1568,HIP 102610 ,-0.24,-0.13,-0.16,
1569,HIP 102611 ,-0.45,-0.37,-0.32,
1570,HIP 102612 ,0.04,0.3,0.24,
1571,HIP 4310 ,0.49,0.49,0.5,
1572,HIP 4311 ,-0.27,-0.24,-0.23,
1576,HIP 102642 ,-0.04,-0.02,-0.14,
1578,HIP 69881 ,0.31,0.29,0.28,
1579,2MASS 19393877+4629292 ,0.23,0.19,0.19,
1580,HIP 69888 ,-0.01,-0.07,-0.2,
1581,HIP 102664 ,-0.23,-0.19,-0.23,
1582,2MASS 18514199+4837350 ,0.12,0.05,0.08,
1583,HIP 69904 ,0.0,0.28,0.02,
1585,HIP 69908 ,0.22,0.11,0.01,
1586,HIP 102675 ,-0.26,-0.2,-0.22,
1588,HIP 4382 ,0.05,0.12,0.11,
1590,2MASS 08461929-0801370 ,0.2,-0.06,0.0,
1591,HIP 69925 ,-0.3,-0.15,-0.17,
1592,HIP 102693 ,-0.07,-0.04,-0.09,
1593,HIP 4393 ,0.25,0.35,0.24,
1596,2MASS 19103512+4050350 ,-0.07,-0.13,-0.15,
1597,HIP 102703 ,0.03,0.1,0.05,
1598,HIP 37170 ,0.06,-0.04,-0.02,
1599,HIP 37171 ,0.2,0.14,0.2,
1600,2MASS 18480110+4210355 ,-0.18,-0.1,-0.11,
1601,HD 165506 ,-0.35,0.09,0.07,
1603,HIP 4422 ,-0.36,-0.14,-0.16,
1604,HIP 4423 ,0.26,0.28,0.24,
1605,HIP 69965 ,-0.64,-0.5,-0.54,
1606,2MASS 19231780+4438498 ,0.08,0.07,0.1,
1607,HIP 37202 ,-0.13,-0.05,0.0,
1608,HIP 37204 ,0.08,0.22,0.21,
1609,HIP 37205 ,-0.31,-0.34,-0.34,
1610,HIP 69972 ,0.28,0.25,0.3,
1611,HIP 102741 ,-0.49,-0.42,-0.41,
1612,2MASS 18525078+4102170 ,0.0,-0.04,-0.02,
1613,HIP 102747 ,-0.05,0.13,0.11,
1614,HIP 102753 ,0.19,0.28,0.21,
1615,2MASS 19491583+4601237 ,0.37,0.28,0.29,
1616,HIP 4454 ,-0.17,-0.06,-0.01,
1617,HIP 4457 ,-0.18,-0.05,0.02,
1618,HIP 102762 ,-0.05,-0.03,-0.07,
1620,HIP 37233 ,-0.46,-0.15,-0.25,
1621,HIP 70003 ,0.08,-0.01,-0.13,
1623,HIP 37240 ,-0.61,-0.46,-0.54,
1624,HIP 70012 ,-0.06,0.11,0.08,
1625,HIP 102781 ,-0.13,-0.07,-0.16,
1626,HIP 70016 ,-0.17,-0.09,-0.13,
1627,HIP 37252 ,-0.28,-0.12,-0.22,
1628,HIP 102791 ,0.06,-0.07,-0.02,
1629,HIP 102793 ,-0.55,-0.28,-0.44,
1630,HIP 70027 ,0.28,0.22,0.5,
1631,2MASS 19132940+4756008 ,0.1,0.01,0.03,
1632,HIP 102805 ,-0.28,-0.07,-0.21,
1633,HIP 70038 ,0.0,0.05,0.07,
1634,HIP 4504 ,-0.18,-0.12,-0.12,
1635,HIP 102815 ,0.27,0.22,0.26,
1636,HIP 70049 ,-0.43,-0.38,-0.4,
1637,HIP 37284 ,0.17,0.14,0.11,
1638,2MASS 19205703+4119529 ,0.22,0.11,0.17,
1639,2MASS 23123773-2240261 ,0.07,-0.11,-0.09,
1642,HIP 102831 ,-0.04,0.09,0.11,
1643,2MASS 19411279+5033548 ,0.18,0.04,0.1,
1644,HIP 102838 ,-0.28,-0.05,-0.17,
